ID_Recinto Hora dia Mes Presión_saturacion x_set_min x_set_max x_int_aire G_HU G_DHU 
227.000000 3.000000 5.000000 1.000000 3386.988486 0.005242 0.012730 0.000000 0.000000 0.000000
227.000000 4.000000 5.000000 1.000000 3338.478119 0.005166 0.012544 0.000000 0.000000 0.000000
227.000000 5.000000 5.000000 1.000000 3293.623804 0.005096 0.012372 0.000000 0.000000 0.000000
227.000000 6.000000 5.000000 1.000000 3241.001439 0.005014 0.012171 0.000000 0.000000 0.000000
227.000000 7.000000 5.000000 1.000000 3181.818036 0.004922 0.011944 0.000000 0.000000 0.000000
227.000000 8.000000 5.000000 1.000000 3296.119261 0.005100 0.012382 0.012382 0.000000 -148.744664
227.000000 9.000000 5.000000 1.000000 3467.075948 0.005367 0.013038 0.013038 0.000000 -22.465169
227.000000 10.000000 5.000000 1.000000 3619.179462 0.005604 0.013622 0.013622 0.000000 -220.961074
227.000000 11.000000 5.000000 1.000000 3559.886808 0.005512 0.013394 0.013394 0.000000 -120.290098
227.000000 12.000000 5.000000 1.000000 3502.477466 0.005422 0.013174 0.013174 0.000000 -285.002606
227.000000 13.000000 5.000000 1.000000 3450.182783 0.005340 0.012973 0.012973 0.000000 -1174.025839
227.000000 14.000000 5.000000 1.000000 3404.879853 0.005270 0.012799 0.012799 0.000000 -601.479378
227.000000 15.000000 5.000000 1.000000 3363.451155 0.005205 0.012640 0.012640 0.000000 -553.703667
227.000000 16.000000 5.000000 1.000000 3324.050765 0.005143 0.012489 0.012489 0.000000 -160.145719
227.000000 17.000000 5.000000 1.000000 3295.538272 0.005099 0.012380 0.012380 0.000000 -957.180764
227.000000 18.000000 5.000000 1.000000 3276.760535 0.005070 0.012308 0.012308 0.000000 -360.699856
227.000000 19.000000 5.000000 1.000000 3765.086096 0.005832 0.014184 0.000000 0.000000 0.000000
227.000000 20.000000 5.000000 1.000000 3765.239910 0.005833 0.014184 0.000000 0.000000 0.000000
227.000000 21.000000 5.000000 1.000000 3697.767744 0.005727 0.013925 0.000000 0.000000 0.000000
227.000000 22.000000 5.000000 1.000000 3625.512445 0.005614 0.013646 0.000000 0.000000 0.000000
227.000000 23.000000 5.000000 1.000000 3594.802414 0.005566 0.013528 0.000000 0.000000 0.000000
227.000000 24.000000 5.000000 1.000000 3531.231403 0.005467 0.013284 0.000000 0.000000 0.000000
227.000000 1.000000 6.000000 1.000000 3463.169511 0.005361 0.013023 0.000000 0.000000 0.000000
227.000000 2.000000 6.000000 1.000000 3387.316193 0.005242 0.012732 0.000000 0.000000 0.000000
227.000000 3.000000 6.000000 1.000000 3314.434204 0.005128 0.012452 0.000000 0.000000 0.000000
227.000000 4.000000 6.000000 1.000000 3246.290491 0.005022 0.012191 0.000000 0.000000 0.000000
227.000000 5.000000 6.000000 1.000000 3221.998672 0.004984 0.012098 0.000000 0.000000 0.000000
227.000000 6.000000 6.000000 1.000000 3207.509381 0.004962 0.012043 0.000000 0.000000 0.000000
227.000000 7.000000 6.000000 1.000000 3187.938844 0.004931 0.011968 0.000000 0.000000 0.000000
227.000000 8.000000 6.000000 1.000000 3413.987897 0.005284 0.012834 0.012834 0.000000 -413.824809
227.000000 9.000000 6.000000 1.000000 3603.014502 0.005579 0.013560 0.013560 0.000000 -50.948087
227.000000 10.000000 6.000000 1.000000 3652.954529 0.005657 0.013752 0.013752 0.000000 -135.122605
227.000000 11.000000 6.000000 1.000000 3585.852962 0.005552 0.013494 0.013273 0.000000 0.000000
227.000000 12.000000 6.000000 1.000000 3524.420417 0.005456 0.013258 0.012718 0.000000 0.000000
227.000000 13.000000 6.000000 1.000000 3468.188858 0.005368 0.013042 0.013042 0.000000 -660.957114
227.000000 14.000000 6.000000 1.000000 3420.804443 0.005294 0.012860 0.012860 0.000000 -127.766156
227.000000 15.000000 6.000000 1.000000 3377.917343 0.005228 0.012695 0.012695 0.000000 -194.197347
227.000000 16.000000 6.000000 1.000000 3341.914444 0.005171 0.012557 0.011414 0.000000 0.000000
227.000000 17.000000 6.000000 1.000000 3314.807569 0.005129 0.012454 0.012290 0.000000 0.000000
227.000000 18.000000 6.000000 1.000000 3298.489507 0.005104 0.012391 0.011723 0.000000 0.000000
227.000000 19.000000 6.000000 1.000000 3717.622311 0.005758 0.014001 0.000000 0.000000 0.000000
227.000000 20.000000 6.000000 1.000000 3725.655319 0.005771 0.014032 0.000000 0.000000 0.000000
227.000000 21.000000 6.000000 1.000000 3669.126492 0.005682 0.013814 0.000000 0.000000 0.000000
227.000000 22.000000 6.000000 1.000000 3616.409305 0.005600 0.013611 0.000000 0.000000 0.000000
227.000000 23.000000 6.000000 1.000000 3573.450608 0.005533 0.013446 0.000000 0.000000 0.000000
227.000000 24.000000 6.000000 1.000000 3516.800769 0.005444 0.013229 0.000000 0.000000 0.000000
227.000000 1.000000 7.000000 1.000000 3454.666290 0.005347 0.012990 0.000000 0.000000 0.000000
