Nombre_Archivo,Nro_Filas,Radiacion Global Horizontal[label: GHI] [W/m2],Radiacion Directa Normal[label: DNI] [W/m2],Radiacion Difusa[label: DIF] [W/m2],Temperatura en 2 metros (Corejida)[label: Temp] [C]
per_huancayo_huancayo_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_huaraz_huaraz_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_huánuco_huánuco_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_ica_ica_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_iquitos_maynas_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_lambayeque_lambayeque_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_lima_lima_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_moquegua_mariscal_nieto_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_moyobamba_moyobamba_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_piura_piura_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_puno_puno_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_san_miguel_lima_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_sullana_sullana_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_tambopata_tambopata_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_trujillo_trujillo_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_yarinacocha_coronel_portillo_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
